sid,c1,c2,vol,base,slice,mode,ip1,risk1
B|trend|polychromatic_momentum_signals|didi_index_signals|chaikin_volatility_volume_signals|rma_baseline,polychromatic_momentum_signals,didi_index_signals,chaikin_volatility_volume_signals,rma_baseline,trend,B,"{""base"": {""ma_length"": 200}, ""c1"": {""len"": 14}, ""c2"": {""long_p"": 5, ""medium"": 3}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 8, ""roc_len"": 120}}","{""atr_len"": 50, ""atr_mult"": 1.2, ""be_pct"": 0.01, ""tp_mult"": 2.6, ""trail_arm"": 1.65, ""trail_mult"": 1.15}"
B|trend|schaff_trend_cycle_signals|supertrend_signals|variance_volume_signals|mcginley_dynamic_index,schaff_trend_cycle_signals,supertrend_signals,variance_volume_signals,mcginley_dynamic_index,trend,B,"{""base"": {""mci_length"": 7}, ""c1"": {""cycleLen"": 10, ""d1"": 3, ""d2"": 3, ""lowerBand"": 31, ""macdFast"": 8, ""macdSlow"": 94, ""stc_midline"": 62, ""upperBand"": 75}, ""c2"": {""atr_period"": 5, ""factor"": 3}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 37, ""hline"": 0, ""lookback"": 200}}","{""atr_len"": 18, ""atr_mult"": 1.15, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 1.0, ""trail_mult"": 1.55}"
B|trend|center_of_gravity_signals|vortex_signals|variance_volume_signals|rma_baseline,center_of_gravity_signals,vortex_signals,variance_volume_signals,rma_baseline,trend,B,"{""base"": {""ma_length"": 25}, ""c1"": {""length"": 10, ""signal_length"": 4}, ""c2"": {""period"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 2, ""filter_lookback"": 2, ""hline"": 0, ""lookback"": 87}}","{""atr_len"": 8, ""atr_mult"": 1.37, ""be_pct"": 0.01, ""tp_mult"": 2.95, ""trail_arm"": 1.65, ""trail_mult"": 1.3}"
B|trend|j_tpo_signals|halftrend_signals|variance_volume_signals|tma_baseline,j_tpo_signals,halftrend_signals,variance_volume_signals,tma_baseline,trend,B,"{""base"": {""length"": 37}, ""c1"": {""ema_len"": 200, ""len"": 40}, ""c2"": {""amplitude"": 329}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 28, ""filter_lookback"": 11, ""hline"": 0, ""lookback"": 7}}","{""atr_len"": 34, ""atr_mult"": 1.05, ""be_pct"": 0.01, ""tp_mult"": 2.45, ""trail_arm"": 2.0, ""trail_mult"": 1.5}"
B|trend|price_momentum_oscillator_signals|dspo_signals|chaikin_volatility_volume_signals|ema_baseline,price_momentum_oscillator_signals,dspo_signals,chaikin_volatility_volume_signals,ema_baseline,trend,B,"{""base"": {""ma_length"": 132}, ""c1"": {""s1"": 8, ""s2"": 20, ""sig"": 10}, ""c2"": {""len"": 17}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 19, ""roc_len"": 15}}","{""atr_len"": 49, ""atr_mult"": 1.49, ""be_pct"": 0.01, ""tp_mult"": 1.7, ""trail_arm"": 2.0, ""trail_mult"": 0.5}"
B|trend|bears_bulls_impulse_signals|mama_fama_signals|variance_volume_signals|kama_baseline,bears_bulls_impulse_signals,mama_fama_signals,variance_volume_signals,kama_baseline,trend,B,"{""base"": {""fast_length"": 2, ""length"": 12, ""slow_length"": 130}, ""c1"": {""length"": 16}, ""c2"": {""fast_limit"": 0.17556, ""slow_limit"": 0.061642}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 4, ""filter_lookback"": 132, ""hline"": 0, ""lookback"": 16}}","{""atr_len"": 27, ""atr_mult"": 1.2, ""be_pct"": 0.05, ""tp_mult"": 2.85, ""trail_arm"": 1.0, ""trail_mult"": 1.4}"
B|trend|dpo_signals|dspo_signals|damiani_volatmeter_volume_signals|rma_baseline,dpo_signals,dspo_signals,damiani_volatmeter_volume_signals,rma_baseline,trend,B,"{""base"": {""ma_length"": 11}, ""c1"": {""len"": 329}, ""c2"": {""len"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""lag"": 1.4, ""sedimentation"": 142, ""threshold"": 1.4, ""viscosity"": 6}}","{""atr_len"": 49, ""atr_mult"": 1.15, ""be_pct"": 0.05, ""tp_mult"": 2.8, ""trail_arm"": 1.0, ""trail_mult"": 1.25}"
B|trend|j_tpo_signals|kase_peak_oscillator_signals|variance_volume_signals|sma_baseline,j_tpo_signals,kase_peak_oscillator_signals,variance_volume_signals,sma_baseline,trend,B,"{""base"": {""length"": 25}, ""c1"": {""ema_len"": 200, ""len"": 9}, ""c2"": {""long_cycle"": 80, ""sharpness"": 40, ""short_cycle"": 8}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 8, ""filter_lookback"": 87, ""hline"": 0, ""lookback"": 25}}","{""atr_len"": 26, ""atr_mult"": 1.5, ""be_pct"": 0.09, ""tp_mult"": 3.0, ""trail_arm"": 1.65, ""trail_mult"": 1.25}"
B|trend|rex_oscillator_signals|hieken_ashi_smoothed_signals|damiani_volatmeter_volume_signals|rma_baseline,rex_oscillator_signals,hieken_ashi_smoothed_signals,damiani_volatmeter_volume_signals,rma_baseline,trend,B,"{""base"": {""ma_length"": 16}, ""c1"": {""almaOffset"": 0.85, ""almaSigma"": 6, ""framaFast"": 34, ""framaSlow"": 89, ""jurikPhase"": 1, ""jurikPower"": 1, ""lsOffset"": 0, ""modFBW"": 0.5, ""modFilter"": 0.8, ""sigAlmaOff"": 0.85, ""sigAlmaSig"": 6, ""sigFramaFast"": 34, ""sigFramaSlow"": 89, ""sigJurikPhase"": 1, ""sigJurikPower"": 1, ""sigLsOff"": 0, ""sigModFBW"": 0.5, ""sigModFilter"": 0.8, ""sigSmooth"": 220, ""sigVolAdj"": 10, ""smooth"": 140, ""volAdj"": 10}, ""c2"": {""alma_offset1"": 0.85, ""alma_offset2"": 0.85, ""alma_sigma1"": 6, ""alma_sigma2"": 6, ""ama_smooth1"": 0.181, ""ama_smooth2"": 0.181, ""frama_t1_a"": 1, ""frama_t1_b"": 168, ""frama_t2_a"": 1, ""frama_t2_b"": 168, ""lsma_offset1"": 0, ""lsma_offset2"": 0, ""ma_len1"": 8, ""ma_len2"": 8, ""vol_factor1"": 0.82, ""vol_factor2"": 0.82}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""lag"": 1.4, ""sedimentation"": 142, ""threshold"": 1.4, ""viscosity"": 6}}","{""atr_len"": 25, ""atr_mult"": 1.0, ""be_pct"": 0.01, ""tp_mult"": 2.75, ""trail_arm"": 1.0, ""trail_mult"": 0.65}"
B|trend|center_of_gravity_signals|halftrend_signals|variance_volume_signals|fantail_vma,center_of_gravity_signals,halftrend_signals,variance_volume_signals,fantail_vma,trend,B,"{""base"": {""fma_adx_length"": 20, ""fma_ma_length"": 17, ""fma_weighting"": 43}, ""c1"": {""length"": 28, ""signal_length"": 9}, ""c2"": {""amplitude"": 50}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 20, ""hline"": 0, ""lookback"": 200}}","{""atr_len"": 28, ""atr_mult"": 1.0, ""be_pct"": 0.2, ""tp_mult"": 3.0, ""trail_arm"": 1.2, ""trail_mult"": 1.35}"
B|trend|laguerre_filter_signals|ssl_channel_signals|damiani_volatmeter_volume_signals|ema_baseline,laguerre_filter_signals,ssl_channel_signals,damiani_volatmeter_volume_signals,ema_baseline,trend,B,"{""base"": {""ma_length"": 132}, ""c1"": {""alpha"": 0.162226}, ""c2"": {""len"": 5}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""lag"": 1.4, ""sedimentation"": 216, ""threshold"": 1.4, ""viscosity"": 13}}","{""atr_len"": 50, ""atr_mult"": 1.0, ""be_pct"": 0.05, ""tp_mult"": 2.8, ""trail_arm"": 1.65, ""trail_mult"": 0.5}"
B|trend|volatility_quality_signals|kuskus_starlight_signals|chaikin_volatility_volume_signals|mcginley_dynamic_index,volatility_quality_signals,kuskus_starlight_signals,chaikin_volatility_volume_signals,mcginley_dynamic_index,trend,B,"{""base"": {""mci_length"": 11}, ""c1"": {""atr_pct"": 0.040025, ""smooth"": 100}, ""c2"": {""index_smooth"": 0.7, ""price_smooth"": 0.7, ""range_periods"": 24}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 19, ""roc_len"": 12}}","{""atr_len"": 50, ""atr_mult"": 1.28, ""be_pct"": 0.01, ""tp_mult"": 2.9, ""trail_arm"": 1.15, ""trail_mult"": 1.2}"
B|trend|didi_index_signals|ssl_channel_signals|variance_volume_signals|t3_baseline,didi_index_signals,ssl_channel_signals,variance_volume_signals,t3_baseline,trend,B,"{""base"": {""length"": 100, ""volume_factor"": 0.245783}, ""c1"": {""long_p"": 20, ""medium"": 4}, ""c2"": {""len"": 8}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 11, ""hline"": 0, ""lookback"": 2}}","{""atr_len"": 34, ""atr_mult"": 1.41, ""be_pct"": 0.05, ""tp_mult"": 2.7, ""trail_arm"": 1.0, ""trail_mult"": 0.9}"
B|trend|laguerre_filter_signals|parabolic_sar_signals|chaikin_volatility_volume_signals|tma_baseline,laguerre_filter_signals,parabolic_sar_signals,chaikin_volatility_volume_signals,tma_baseline,trend,B,"{""base"": {""length"": 25}, ""c1"": {""alpha"": 0.070224}, ""c2"": {""sar_increment"": 0.024657, ""sar_maximum"": 0.070224, ""sar_start"": 0.00304}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 28, ""roc_len"": 6}}","{""atr_len"": 41, ""atr_mult"": 1.29, ""be_pct"": 0.09, ""tp_mult"": 2.7, ""trail_arm"": 2.0, ""trail_mult"": 0.5}"
B|trend|schaff_trend_cycle_signals|price_momentum_oscillator_signals|chaikin_volatility_volume_signals|tma_baseline,schaff_trend_cycle_signals,price_momentum_oscillator_signals,chaikin_volatility_volume_signals,tma_baseline,trend,B,"{""base"": {""length"": 37}, ""c1"": {""cycleLen"": 10, ""d1"": 6, ""d2"": 3, ""lowerBand"": 25, ""macdFast"": 23, ""macdSlow"": 27, ""stc_midline"": 50, ""upperBand"": 17}, ""c2"": {""s1"": 28, ""s2"": 37, ""sig"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 8, ""roc_len"": 6}}","{""atr_len"": 17, ""atr_mult"": 1.29, ""be_pct"": 0.05, ""tp_mult"": 2.95, ""trail_arm"": 1.15, ""trail_mult"": 1.0}"
B|trend|coral_signals|vortex_signals|variance_volume_signals|rma_baseline,coral_signals,vortex_signals,variance_volume_signals,rma_baseline,trend,B,"{""base"": {""ma_length"": 57}, ""c1"": {""const_d"": 5, ""smooth_period"": 10}, ""c2"": {""period"": 17}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 100, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 40, ""atr_mult"": 1.47, ""be_pct"": 0.01, ""tp_mult"": 2.85, ""trail_arm"": 2.0, ""trail_mult"": 0.5}"
B|trend|fx_sniper_ergodic_cci_signals|fisher_transform_signals|variance_volume_signals|rma_baseline,fx_sniper_ergodic_cci_signals,fisher_transform_signals,variance_volume_signals,rma_baseline,trend,B,"{""base"": {""ma_length"": 25}, ""c1"": {""cci_length"": 17, ""ema1_length"": 5, ""ema2_length"": 3, ""trigger_length"": 3}, ""c2"": {""length"": 43}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 7, ""hline"": 0, ""lookback"": 132}}","{""atr_len"": 44, ""atr_mult"": 1.0, ""be_pct"": 0.01, ""tp_mult"": 3.0, ""trail_arm"": 1.85, ""trail_mult"": 2.0}"
B|trend|parabolic_sar_signals|coral_signals|williams_vix_fix_volume_signals|rma_baseline,parabolic_sar_signals,coral_signals,williams_vix_fix_volume_signals,rma_baseline,trend,B,"{""base"": {""ma_length"": 25}, ""c1"": {""sar_increment"": 0.010673, ""sar_maximum"": 0.2, ""sar_start"": 0.016223}, ""c2"": {""const_d"": 14, ""smooth_period"": 28}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bb_length"": 7, ""bb_mult"": 2, ""lookback"": 2}}","{""atr_len"": 45, ""atr_mult"": 1.47, ""be_pct"": 0.05, ""tp_mult"": 2.95, ""trail_arm"": 1.9, ""trail_mult"": 0.5}"
B|trend|schaff_trend_cycle_signals|relative_vigor_index_signals|fractal_dimension_volume_signals|sma_baseline,schaff_trend_cycle_signals,relative_vigor_index_signals,fractal_dimension_volume_signals,sma_baseline,trend,B,"{""base"": {""length"": 132}, ""c1"": {""cycleLen"": 10, ""d1"": 3, ""d2"": 4, ""lowerBand"": 47, ""macdFast"": 12, ""macdSlow"": 62, ""stc_midline"": 41, ""upperBand"": 75}, ""c2"": {""len"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""fd_threshold"": 1.5, ""length"": 300}}","{""atr_len"": 50, ""atr_mult"": 1.0, ""be_pct"": 0.05, ""tp_mult"": 2.95, ""trail_arm"": 2.0, ""trail_mult"": 0.5}"
B|trend|center_of_gravity_signals|kuskus_starlight_signals|variance_volume_signals|vidya,center_of_gravity_signals,kuskus_starlight_signals,variance_volume_signals,vidya,trend,B,"{""base"": {""vda_length"": 13}, ""c1"": {""length"": 10, ""signal_length"": 4}, ""c2"": {""index_smooth"": 0.567792, ""price_smooth"": 0.373569, ""range_periods"": 56}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 7, ""hline"": 0, ""lookback"": 132}}","{""atr_len"": 3, ""atr_mult"": 1.37, ""be_pct"": 0.17, ""tp_mult"": 2.8, ""trail_arm"": 1.55, ""trail_mult"": 1.65}"
B|trend|fisher_transform_signals|dspo_signals|damiani_volatmeter_volume_signals|rma_baseline,fisher_transform_signals,dspo_signals,damiani_volatmeter_volume_signals,rma_baseline,trend,B,"{""base"": {""ma_length"": 11}, ""c1"": {""length"": 100}, ""c2"": {""len"": 11}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""lag"": 1.4, ""sedimentation"": 142, ""threshold"": 1.4, ""viscosity"": 6}}","{""atr_len"": 38, ""atr_mult"": 1.39, ""be_pct"": 0.01, ""tp_mult"": 2.25, ""trail_arm"": 1.0, ""trail_mult"": 1.45}"
B|trend|mama_fama_signals|fisher_transform_signals|chaikin_volatility_volume_signals|fantail_vma,mama_fama_signals,fisher_transform_signals,chaikin_volatility_volume_signals,fantail_vma,trend,B,"{""base"": {""fma_adx_length"": 2, ""fma_ma_length"": 26, ""fma_weighting"": 19}, ""c1"": {""fast_limit"": 0.115506, ""slow_limit"": 0.026683}, ""c2"": {""length"": 43}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 28, ""roc_len"": 12}}","{""atr_len"": 32, ""atr_mult"": 1.0, ""be_pct"": 0.05, ""tp_mult"": 2.75, ""trail_arm"": 1.2, ""trail_mult"": 0.5}"
B|trend|ssl_channel_signals|kuskus_starlight_signals|chaikin_volatility_volume_signals|wma_baseline,ssl_channel_signals,kuskus_starlight_signals,chaikin_volatility_volume_signals,wma_baseline,trend,B,"{""base"": {""ma_length"": 200}, ""c1"": {""len"": 5}, ""c2"": {""index_smooth"": 0.567792, ""price_smooth"": 0.161709, ""range_periods"": 85}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 28, ""roc_len"": 12}}","{""atr_len"": 50, ""atr_mult"": 1.15, ""be_pct"": 0.01, ""tp_mult"": 2.8, ""trail_arm"": 1.3, ""trail_mult"": 1.15}"
B|trend|coppock_curve_signals|fisher_transform_signals|variance_volume_signals|super_smoother_2pole_baseline,coppock_curve_signals,fisher_transform_signals,variance_volume_signals,super_smoother_2pole_baseline,trend,B,"{""base"": {""cutoff_period"": 99}, ""c1"": {""long_roc"": 17, ""short_roc"": 48, ""smooth_len"": 12}, ""c2"": {""length"": 100}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 8, ""filter_lookback"": 20, ""hline"": 0, ""lookback"": 132}}","{""atr_len"": 11, ""atr_mult"": 1.48, ""be_pct"": 0.01, ""tp_mult"": 1.85, ""trail_arm"": 1.15, ""trail_mult"": 0.65}"
B|trend|kalman_filter_signals|schaff_trend_cycle_signals|efficiency_ratio_volume_signals|wma_baseline,kalman_filter_signals,schaff_trend_cycle_signals,efficiency_ratio_volume_signals,wma_baseline,trend,B,"{""base"": {""ma_length"": 25}, ""c1"": {""k"": 1, ""sharpness"": 1}, ""c2"": {""cycleLen"": 2, ""d1"": 3, ""d2"": 3, ""lowerBand"": 25, ""macdFast"": 43, ""macdSlow"": 216, ""stc_midline"": 62, ""upperBand"": 75}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""er_threshold"": 0.369854, ""length"": 10}}","{""atr_len"": 8, ""atr_mult"": 1.25, ""be_pct"": 0.06, ""tp_mult"": 2.35, ""trail_arm"": 1.15, ""trail_mult"": 0.95}"
B|trend|ssl_channel_signals|supertrend_signals|chaikin_volatility_volume_signals|t3_baseline,ssl_channel_signals,supertrend_signals,chaikin_volatility_volume_signals,t3_baseline,trend,B,"{""base"": {""length"": 100, ""volume_factor"": 1.311672}, ""c1"": {""len"": 100}, ""c2"": {""atr_period"": 19, ""factor"": 2}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 5, ""roc_len"": 10}}","{""atr_len"": 47, ""atr_mult"": 1.2, ""be_pct"": 0.05, ""tp_mult"": 2.8, ""trail_arm"": 1.0, ""trail_mult"": 1.7}"
B|trend|polychromatic_momentum_signals|parabolic_sar_signals|variance_volume_signals|t3_baseline,polychromatic_momentum_signals,parabolic_sar_signals,variance_volume_signals,t3_baseline,trend,B,"{""base"": {""length"": 19, ""volume_factor"": 0.7}, ""c1"": {""len"": 17}, ""c2"": {""sar_increment"": 0.024657, ""sar_maximum"": 0.2, ""sar_start"": 0.02}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 28, ""filter_lookback"": 87, ""hline"": 0, ""lookback"": 7}}","{""atr_len"": 35, ""atr_mult"": 1.48, ""be_pct"": 0.01, ""tp_mult"": 2.9, ""trail_arm"": 1.7, ""trail_mult"": 0.55}"
B|trend|vortex_signals|price_momentum_oscillator_signals|efficiency_ratio_volume_signals|mcginley_dynamic_index,vortex_signals,price_momentum_oscillator_signals,efficiency_ratio_volume_signals,mcginley_dynamic_index,trend,B,"{""base"": {""mci_length"": 14}, ""c1"": {""period"": 11}, ""c2"": {""s1"": 100, ""s2"": 5, ""sig"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""er_threshold"": 0.3, ""length"": 10}}","{""atr_len"": 22, ""atr_mult"": 1.38, ""be_pct"": 0.05, ""tp_mult"": 2.15, ""trail_arm"": 1.6, ""trail_mult"": 0.7}"
B|trend|fisher_transform_signals|dspo_signals|chaikin_volatility_volume_signals|sma_baseline,fisher_transform_signals,dspo_signals,chaikin_volatility_volume_signals,sma_baseline,trend,B,"{""base"": {""length"": 16}, ""c1"": {""length"": 10}, ""c2"": {""len"": 11}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 28, ""roc_len"": 2}}","{""atr_len"": 50, ""atr_mult"": 1.5, ""be_pct"": 0.03, ""tp_mult"": 2.85, ""trail_arm"": 1.0, ""trail_mult"": 0.5}"
B|trend|kuskus_starlight_signals|polychromatic_momentum_signals|chaikin_volatility_volume_signals|sma_baseline,kuskus_starlight_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,sma_baseline,trend,B,"{""base"": {""length"": 37}, ""c1"": {""index_smooth"": 0.7, ""price_smooth"": 0.567792, ""range_periods"": 11}, ""c2"": {""len"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 2, ""roc_len"": 12}}","{""atr_len"": 11, ""atr_mult"": 1.48, ""be_pct"": 0.1, ""tp_mult"": 2.0, ""trail_arm"": 1.05, ""trail_mult"": 0.55}"
B|trend|vortex_signals|chandelier_exit_signals|variance_volume_signals|tma_baseline,vortex_signals,chandelier_exit_signals,variance_volume_signals,tma_baseline,trend,B,"{""base"": {""length"": 25}, ""c1"": {""period"": 14}, ""c2"": {""atr_mult"": 6, ""atr_period"": 63}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 19, ""filter_lookback"": 11, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 29, ""atr_mult"": 1.45, ""be_pct"": 0.01, ""tp_mult"": 2.1, ""trail_arm"": 1.0, ""trail_mult"": 1.45}"
B|trend|didi_index_signals|ehlers_reverse_ema_signals|variance_volume_signals|sma_baseline,didi_index_signals,ehlers_reverse_ema_signals,variance_volume_signals,sma_baseline,trend,B,"{""base"": {""length"": 37}, ""c1"": {""long_p"": 25, ""medium"": 8}, ""c2"": {""alpha"": 0.023101}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 5, ""atr_mult"": 1.0, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 1.0, ""trail_mult"": 1.4}"
B|trend|polychromatic_momentum_signals|dpo_signals|variance_volume_signals|ema_baseline,polychromatic_momentum_signals,dpo_signals,variance_volume_signals,ema_baseline,trend,B,"{""base"": {""ma_length"": 132}, ""c1"": {""len"": 2}, ""c2"": {""len"": 94}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 20, ""hline"": 0, ""lookback"": 16}}","{""atr_len"": 7, ""atr_mult"": 1.15, ""be_pct"": 0.01, ""tp_mult"": 1.55, ""trail_arm"": 2.0, ""trail_mult"": 1.05}"
B|trend|volatility_quality_signals|parabolic_sar_signals|variance_volume_signals|ema_baseline,volatility_quality_signals,parabolic_sar_signals,variance_volume_signals,ema_baseline,trend,B,"{""base"": {""ma_length"": 11}, ""c1"": {""atr_pct"": 0.075, ""smooth"": 10}, ""c2"": {""sar_increment"": 0.2, ""sar_maximum"": 0.2, ""sar_start"": 0.086575}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 16}}","{""atr_len"": 13, ""atr_mult"": 1.45, ""be_pct"": 0.05, ""tp_mult"": 2.05, ""trail_arm"": 1.0, ""trail_mult"": 1.9}"
B|trend|dspo_signals|aroon_signals|variance_volume_signals|wma_baseline,dspo_signals,aroon_signals,variance_volume_signals,wma_baseline,trend,B,"{""base"": {""ma_length"": 37}, ""c1"": {""len"": 92}, ""c2"": {""length"": 20}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 5, ""hline"": 0, ""lookback"": 25}}","{""atr_len"": 45, ""atr_mult"": 1.37, ""be_pct"": 0.01, ""tp_mult"": 2.75, ""trail_arm"": 1.0, ""trail_mult"": 0.55}"
B|trend|polychromatic_momentum_signals|coral_signals|chaikin_volatility_volume_signals|mcginley_dynamic_index,polychromatic_momentum_signals,coral_signals,chaikin_volatility_volume_signals,mcginley_dynamic_index,trend,B,"{""base"": {""mci_length"": 40}, ""c1"": {""len"": 11}, ""c2"": {""const_d"": 7, ""smooth_period"": 8}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 43, ""roc_len"": 3}}","{""atr_len"": 50, ""atr_mult"": 1.4, ""be_pct"": 0.14, ""tp_mult"": 2.6, ""trail_arm"": 2.0, ""trail_mult"": 1.3}"
B|trend|waddah_attar_explosion_signals|kalman_filter_signals|waddah_attar_explosion_volume_signals|sma_baseline,waddah_attar_explosion_signals,kalman_filter_signals,waddah_attar_explosion_volume_signals,sma_baseline,trend,B,"{""base"": {""length"": 25}, ""c1"": {""bbLen"": 87, ""bbStd"": 2, ""fastEma"": 20, ""sensitivity"": 122, ""slowEma"": 32}, ""c2"": {""k"": 1, ""sharpness"": 1}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bbLen"": 37, ""bbStd"": 4, ""fastEma"": 3, ""sensitivity"": 15, ""slowEma"": 32}}","{""atr_len"": 36, ""atr_mult"": 1.05, ""be_pct"": 0.05, ""tp_mult"": 2.2, ""trail_arm"": 1.0, ""trail_mult"": 0.65}"
B|trend|fx_sniper_ergodic_cci_signals|polychromatic_momentum_signals|chaikin_volatility_volume_signals|tma_baseline,fx_sniper_ergodic_cci_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,tma_baseline,trend,B,"{""base"": {""length"": 20}, ""c1"": {""cci_length"": 14, ""ema1_length"": 5, ""ema2_length"": 3, ""trigger_length"": 9}, ""c2"": {""len"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 12, ""roc_len"": 3}}","{""atr_len"": 6, ""atr_mult"": 1.49, ""be_pct"": 0.01, ""tp_mult"": 1.9, ""trail_arm"": 1.0, ""trail_mult"": 1.45}"
B|trend|mama_fama_signals|halftrend_signals|chaikin_volatility_volume_signals|tma_baseline,mama_fama_signals,halftrend_signals,chaikin_volatility_volume_signals,tma_baseline,trend,B,"{""base"": {""length"": 37}, ""c1"": {""fast_limit"": 0.5, ""slow_limit"": 0.040557}, ""c2"": {""amplitude"": 18}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 8, ""roc_len"": 15}}","{""atr_len"": 43, ""atr_mult"": 1.2, ""be_pct"": 0.16, ""tp_mult"": 3.0, ""trail_arm"": 1.9, ""trail_mult"": 0.55}"
